scenario_id,status,fail_day,failure_reason,trait_case,state_case,background_mode,npp_rate,initial_storage,allometric_adjustment_days,max_allocation_fraction,initial_leaf,initial_root,initial_sapwood,initial_heartwood,initial_height,final_leaf,final_root,final_sapwood,final_heartwood,final_height,final_storage,cumulative_npp,cumulative_structural_allocation,cumulative_unmet_storage_deficit,cumulative_starvation_carbon_loss,cumulative_sapwood_to_heartwood,cumulative_unpaid_carbon_deficit,final_leaf_root_residual,final_pipe_residual,final_storage_fraction,structural_fraction_of_positive_npp,max_abs_structural_balance_error,max_abs_storage_balance_error,max_abs_whole_plant_balance_error,max_storage_fraction,min_living_pool,max_daily_allocation_observed,max_daily_demand_observed,days_with_allocation,days_with_unmet_storage_deficit
1,PASS,0,OK,1,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,-4.9999999999998375,0.0000000000000000,4.9999999999998375,1.1366325432902991,1.6666666666667156,3.8633674567098479,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.11076109617562629,0,3650
2,PASS,0,OK,1,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.0000000000000000,0.65611774694719835E-1,0.0000000000000000,0.93701900637447211E-1,0,0
3,PASS,0,OK,1,1,1,0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,0.95816903454402980,0.95780721929759338,6.1931113301443590,22.535500137889692,13.022811042698915,0.0000000000000000,4.9999999999998375,4.9999999999998375,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.36181524643641438E-3,-3.7198505760238785,0.0000000000000000,1.0000000000000000,0.43368086899420177E-18,0.0000000000000000,0.79799448299278097E-14,0.0000000000000000,0.80000000000000004,0.13698630136986301E-2,0.80869637988914306E-1,3650,0
4,PASS,0,OK,1,1,1,3.5000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,3.5578727999344162,3.5578727999344162,18.917362085048936,25.613620105019876,14.215896954496257,0.0000000000000000,34.999999999999758,34.999999999999808,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.11147031357776882,0.0000000000000000,1.0000000000000013,0.34694469519536142E-17,0.0000000000000000,0.18461794593083170E-13,0.34945722205248275E-1,0.80000000000000004,0.12421559456118187E-1,0.80869637988914306E-1,3650,0
5,PASS,0,OK,1,1,1,8.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,4.3376957033935231,4.3376957033935231,23.473217368412961,26.103743370271030,14.524386321030876,37.448851214907862,79.999999999997399,42.551148785094469,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.33636270564290527,0.39131013926635744,0.53188935981369811,0.34694469519536142E-17,0.0000000000000000,0.24660828934486290E-13,0.39459701702648819,0.80000000000000004,0.17322617547085476E-1,0.80869637988914306E-1,3650,0
6,PASS,0,OK,1,1,1,-0.50000000000000000,0.50000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,0.0000000000000000,0.0000000000000000,4.7708954799207639,23.765901751128052,13.005374357757955,0.0000000000000000,-4.9999999999998375,0.44794520547945216,4.9479452054793045,1.2924287250146631,1.6493150684931990,3.6555164804649340,0.0000000000000000,-11.738889720340474,0.0000000000000000,0.0000000000000000,0.34694469519536142E-17,0.0000000000000000,0.89546425829922782E-14,0.15479876160990714E-1,0.0000000000000000,0.12132266869733581E-1,0.10696458080778995,38,3612
7,PASS,0,OK,1,1,1,0.0000000000000000,0.50000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,0.10061878568204334,0.87560913618245487E-1,6.0726623464980287,22.510942250245062,13.009637963818031,0.0000000000000000,0.0000000000000000,0.49999999999999994,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.13057872063797854E-1,-13.729592467961986,0.0000000000000000,0.0000000000000000,0.34694469519536142E-17,0.0000000000000000,0.96797569959505836E-14,0.15479876160990714E-1,0.87560913618245487E-1,0.12169371462198861E-1,0.88442523600996040E-1,42,0
8,PASS,0,OK,1,1,1,0.50000000000000000,0.50000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,0.97591034186428793,0.97571031011027076,6.2132183426348364,22.544202119067663,13.025421845398167,0.0000000000000000,4.9999999999998375,5.4999999999996927,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.20003175401717144E-3,-3.5533022178346876,0.0000000000000000,1.0999999999999743,0.34694469519536142E-17,0.0000000000000000,0.11201976846120232E-13,0.15479876160990714E-1,0.80000000000000004,0.12215805141223349E-1,0.80869637988914306E-1,3650,0
9,PASS,0,OK,1,1,1,3.5000000000000000,0.50000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,3.5746319815044272,3.5746319815044272,19.025734144668252,25.719962672082051,14.229579522520879,0.0000000000000000,34.999999999999758,35.499999999999865,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.10981546593884417,0.0000000000000000,1.0142857142857173,0.34694469519536142E-17,0.0000000000000000,0.16503291788705354E-13,0.33215579680855853E-1,0.80000000000000004,0.13358291205902451E-1,0.80869637988914306E-1,3650,0
10,PASS,0,OK,1,1,1,8.0000000000000000,0.50000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,4.3376957033935231,4.3376957033935231,23.473217368412961,26.103743370271030,14.524386321030876,37.948851214907862,79.999999999997399,42.551148785094469,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.33636270564290527,0.39447376840753062,0.53188935981369811,0.34694469519536142E-17,0.0000000000000000,0.25354718324877012E-13,0.39798210553253049,0.80000000000000004,0.17322617547085476E-1,0.80869637988914306E-1,3650,0
