scenario_id,status,fail_day,failure_reason,trait_case,state_case,background_mode,npp_rate,initial_storage,allometric_adjustment_days,max_allocation_fraction,initial_leaf,initial_root,initial_sapwood,initial_heartwood,initial_height,initial_living_carbon,initial_structural_carbon,initial_total_carbon,final_leaf,final_root,final_sapwood,final_heartwood,final_height,final_storage,final_living_carbon,final_structural_carbon,final_total_carbon,net_living_carbon_change,net_total_carbon_change,cumulative_npp,cumulative_positive_npp,cumulative_structural_allocation,cumulative_unmet_storage_deficit,cumulative_leaf_starvation_loss,cumulative_root_starvation_loss,cumulative_sapwood_starvation_loss,cumulative_sapwood_to_heartwood_starvation,cumulative_starvation_carbon_loss,cumulative_unpaid_carbon_deficit,cumulative_leaf_turnover_loss,cumulative_root_turnover_loss,cumulative_sapwood_turnover_loss,cumulative_storage_turnover_loss,cumulative_heartwood_turnover_loss,cumulative_sapwood_to_heartwood_turnover,cumulative_total_sapwood_to_heartwood,cumulative_turnover_carbon_loss,final_leaf_root_residual,final_pipe_residual,final_storage_fraction_total,final_storage_fraction_living,max_storage_fraction_total,max_storage_fraction_living,structural_fraction_of_positive_npp,max_abs_structural_balance_error,max_abs_storage_balance_error,max_abs_whole_plant_balance_error,min_living_pool,min_living_carbon,max_daily_allocation_observed,max_daily_demand_observed,days_with_allocation,days_with_unmet_storage_deficit,days_with_turnover,days_with_storage_above_10pct_living,days_with_storage_above_50pct_living,days_with_storage_above_100pct_living
1,PASS,0,OK,1,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,4.7536448301619654,28.525055411575082,28.525055411575082,-7.0463551698380353,-3.2749445884249191,-4.9999999999998375,0.0000000000000000,0.0000000000000000,4.9999999999998375,0.61092526470071318,0.52570727858958588,1.6666666666667156,1.6666666666667156,1.1366325432902991,3.8633674567098479,0.38907473529928543,0.27429272141041217,3.5796885031718584,0.0000000000000000,1.4749445884270267,3.5796885031718584,5.2463551698385293,2.1383120451367161,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,4.7536448301619654,0.0000000000000000,0.11076109617562629,0,3650,3650,0,0,0
2,PASS,0,OK,1,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,4.7536448301619654,28.525055411575082,28.525055411575082,-7.0463551698380353,-3.2749445884249191,-4.9999999999998375,0.0000000000000000,0.0000000000000000,4.9999999999998375,0.61092526470071318,0.52570727858958588,1.6666666666667156,1.6666666666667156,1.1366325432902991,3.8633674567098479,0.38907473529928543,0.27429272141041217,3.5796885031718584,0.0000000000000000,1.4749445884270267,3.5796885031718584,5.2463551698385293,2.1383120451367161,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,4.7536448301619654,0.0000000000000000,0.11076109617562629,0,3650,3650,0,0,0
3,PASS,0,OK,1,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,4.7536448301619654,28.525055411575082,28.525055411575082,-7.0463551698380353,-3.2749445884249191,-4.9999999999998375,0.0000000000000000,0.0000000000000000,4.9999999999998375,0.61092526470071318,0.52570727858958588,1.6666666666667156,1.6666666666667156,1.1366325432902991,3.8633674567098479,0.38907473529928543,0.27429272141041217,3.5796885031718584,0.0000000000000000,1.4749445884270267,3.5796885031718584,5.2463551698385293,2.1383120451367161,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,4.7536448301619654,0.0000000000000000,0.11076109617562629,0,3650,3650,0,0,0
4,PASS,0,OK,1,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,4.7536448301619654,28.525055411575082,28.525055411575082,-7.0463551698380353,-3.2749445884249191,-4.9999999999998375,0.0000000000000000,0.0000000000000000,4.9999999999998375,0.61092526470071318,0.52570727858958588,1.6666666666667156,1.6666666666667156,1.1366325432902991,3.8633674567098479,0.38907473529928543,0.27429272141041217,3.5796885031718584,0.0000000000000000,1.4749445884270267,3.5796885031718584,5.2463551698385293,2.1383120451367161,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,4.7536448301619654,0.0000000000000000,0.11076109617562629,0,3650,3650,0,0,0
5,PASS,0,OK,1,1,1,-0.50000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.0000000000000000,0.0000000000000000,4.7536448301619654,23.771410581413118,13.004303937022904,0.0000000000000000,4.7536448301619654,28.525055411575082,28.525055411575082,-7.0463551698380353,-3.2749445884249191,-4.9999999999998375,0.0000000000000000,0.0000000000000000,4.9999999999998375,0.61092526470071318,0.52570727858958588,1.6666666666667156,1.6666666666667156,1.1366325432902991,3.8633674567098479,0.38907473529928543,0.27429272141041217,3.5796885031718584,0.0000000000000000,1.4749445884270267,3.5796885031718584,5.2463551698385293,2.1383120451367161,0.0000000000000000,-11.697406897120493,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.79931720964321329E-14,0.0000000000000000,4.7536448301619654,0.0000000000000000,0.11076109617562629,0,3650,3650,0,0,0
6,PASS,0,OK,1,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,6.2127253587960416,28.718967462905788,28.718967462905788,-5.5872746412039591,-3.0810325370942131,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.91798528163160098,0.73438822530527881,3.9349011342670797,0.0000000000000000,1.4286590301572644,3.9349011342670797,3.9349011342670797,3.0810325370941425,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.65611774694719835E-1,6.2127253587960416,0.0000000000000000,0.93701900637447211E-1,0,0,3650,0,0,0
7,PASS,0,OK,1,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,6.2127253587960416,28.718967462905788,28.718967462905788,-5.5872746412039591,-3.0810325370942131,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.91798528163160098,0.73438822530527881,3.9349011342670797,0.0000000000000000,1.4286590301572644,3.9349011342670797,3.9349011342670797,3.0810325370941425,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.65611774694719835E-1,6.2127253587960416,0.0000000000000000,0.93701900637447211E-1,0,0,3650,0,0,0
8,PASS,0,OK,1,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,6.2127253587960416,28.718967462905788,28.718967462905788,-5.5872746412039591,-3.0810325370942131,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.91798528163160098,0.73438822530527881,3.9349011342670797,0.0000000000000000,1.4286590301572644,3.9349011342670797,3.9349011342670797,3.0810325370941425,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.65611774694719835E-1,6.2127253587960416,0.0000000000000000,0.93701900637447211E-1,0,0,3650,0,0,0
9,PASS,0,OK,1,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,6.2127253587960416,28.718967462905788,28.718967462905788,-5.5872746412039591,-3.0810325370942131,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.91798528163160098,0.73438822530527881,3.9349011342670797,0.0000000000000000,1.4286590301572644,3.9349011342670797,3.9349011342670797,3.0810325370941425,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.65611774694719835E-1,6.2127253587960416,0.0000000000000000,0.93701900637447211E-1,0,0,3650,0,0,0
10,PASS,0,OK,1,1,1,0.0000000000000000,0.0000000000000000,30.000000000000000,0.10000000000000000E-2,1.0000000000000000,0.80000000000000004,10.000000000000000,20.000000000000000,13.136094558459112,11.800000000000001,31.800000000000001,31.800000000000001,0.82014718368400130E-1,0.65611774694719835E-1,6.0650988657329217,22.506242104109745,13.008521430503249,0.0000000000000000,6.2127253587960416,28.718967462905788,28.718967462905788,-5.5872746412039591,-3.0810325370942131,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.91798528163160098,0.73438822530527881,3.9349011342670797,0.0000000000000000,1.4286590301572644,3.9349011342670797,3.9349011342670797,3.0810325370941425,0.16402943673680295E-1,-13.935517730726158,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.81777033061891657E-14,0.65611774694719835E-1,6.2127253587960416,0.0000000000000000,0.93701900637447211E-1,0,0,3650,0,0,0
