scenario,event_id,event_year,response_start,response_end,response_window_complete,anomaly_pre,t_min,anomaly_min,maximum_deficit,time_to_maximum_deficit,event_specific_incremental_loss,anomaly_end,recovered_amount,event_specific_recovery_fraction,event_specific_recovery_status,half_recovery_target,half_recovery_year,half_recovery_time,half_recovery_status
8y,1,1980,1980,1987,TRUE,0,1983,-0.016789298855863735,0.016789298855863735,3,0.016789298855863735,-0.013404158470481438,0.0033851403853822973,0.2016248810890648,Partial recovery,-0.008394649427931868,1984,1,Observed
8y,2,1988,1988,1995,TRUE,-0.013404158470481438,1992,-0.033699124266336464,0.033699124266336464,4,0.020294965795855026,-0.02000586223364387,0.013693262032692593,0.6747122498471645,Partial recovery,-0.02355164136840895,1994,2,Observed
8y,3,1996,1996,2003,TRUE,-0.02000586223364387,1997,-0.09392057785703072,0.09392057785703072,1,0.07391471562338685,-0.05663590717363786,0.037284670683392855,0.5044282504361807,Partial recovery,-0.05696322004533729,1999,2,Observed
8y,4,2004,2004,2011,TRUE,-0.05663590717363786,2010,-0.3256013891642901,0.3256013891642901,6,0.26896548199065223,-0.23904134488793435,0.08656004427635575,0.32182584782148405,Partial recovery,-0.19111864816896398,NA,NA,Not observed before next drought
8y,5,2012,2012,2016,FALSE,-0.23904134488793435,2015,-0.569551650482204,0.569551650482204,3,0.33051030559426964,-0.5265843835635368,0.04296726691866726,0.13000280533283384,Partial recovery,-0.4042964976850692,NA,NA,Not observed before simulation end
6y,1,1980,1980,1985,TRUE,0,1983,-0.016789298855863735,0.016789298855863735,3,0.016789298855863735,-0.008853363863762146,0.007935934992101589,0.4726781660289482,Partial recovery,-0.008394649427931868,1984,1,Observed
6y,2,1986,1986,1991,TRUE,-0.008853363863762146,1987,-0.037970932600193734,0.037970932600193734,1,0.029117568736431586,-0.031266604191724584,0.00670432840846915,0.23025028185408786,Partial recovery,-0.02341214823197794,1988,1,Observed
6y,3,1992,1992,1997,TRUE,-0.031266604191724584,1997,-0.09392751090333,0.09392751090333,5,0.06266090671160542,-0.09392751090333,0,0,No recovery,-0.06259705754752729,NA,NA,Not observed before next drought
6y,4,1998,1998,2003,TRUE,-0.09392751090333,2003,-0.3355955615689716,0.3355955615689716,5,0.24166805066564157,-0.3355955615689716,0,0,No recovery,-0.2147615362361508,NA,NA,Not observed before next drought
6y,5,2004,2004,2009,TRUE,-0.3355955615689716,2004,-0.5198717554746006,0.5198717554746006,0,0.18427619390562905,-0.4713752286224909,0.0484965268521097,0.26317304381132156,Partial recovery,-0.42773365852178613,2008,4,Observed
6y,6,2010,2010,2015,TRUE,-0.4713752286224909,2012,-0.6450682481623199,0.6450682481623199,2,0.17369301953982896,-0.6089595279971619,0.03610872016515798,0.20788814807193798,Partial recovery,-0.5582217383924054,2014,2,Observed
6y,7,2016,2016,2016,FALSE,-0.6089595279971619,2016,-0.6118666202707583,0.6118666202707583,0,0.0029070922735964233,-0.6118666202707583,0,0,No recovery,-0.6104130741339602,NA,NA,Not observed before simulation end
4y,1,1980,1980,1983,TRUE,0,1983,-0.016789298855863735,0.016789298855863735,3,0.016789298855863735,-0.016789298855863735,0,0,No recovery,-0.008394649427931868,NA,NA,Not observed before next drought
4y,2,1984,1984,1987,TRUE,-0.016789298855863735,1987,-0.03482251810041267,0.03482251810041267,3,0.018033219244548933,-0.03482251810041267,0,0,No recovery,-0.0258059084781382,NA,NA,Not observed before next drought
4y,3,1988,1988,1991,TRUE,-0.03482251810041267,1991,-0.07213390214997448,0.07213390214997448,3,0.03731138404956181,-0.07213390214997448,0,0,No recovery,-0.053478210125193576,NA,NA,Not observed before next drought
4y,4,1992,1992,1995,TRUE,-0.07213390214997448,1995,-0.41068842099306413,0.41068842099306413,3,0.3385545188430896,-0.41068842099306413,0,0,No recovery,-0.24141116157151932,NA,NA,Not observed before next drought
4y,5,1996,1996,1999,TRUE,-0.41068842099306413,1998,-0.5227700449473045,0.5227700449473045,2,0.11208162395424037,-0.4373601882365384,0.08540985671076612,0.7620326481496775,Partial recovery,-0.4667292329701843,1999,1,Observed
4y,6,2000,2000,2003,TRUE,-0.4373601882365384,2002,-0.5895319380257856,0.5895319380257856,2,0.15217174978924725,-0.562139643976675,0.027392294049110588,0.1800090627008495,Partial recovery,-0.513446063131162,NA,NA,Not observed before next drought
4y,7,2004,2004,2007,TRUE,-0.562139643976675,2005,-0.6537400520565324,0.6537400520565324,1,0.091600408079857365,-0.5963608964739587,0.05737915558257367,0.6264072047861451,Partial recovery,-0.6079398480166037,2007,2,Observed
4y,8,2008,2008,2011,TRUE,-0.5963608964739587,2009,-0.6650587365828879,0.6650587365828879,1,0.06869784010892921,-0.4088219950496088,0.25623674153327913,3.729909719533875,Complete recovery,-0.6307098165284233,2010,1,Observed
4y,9,2012,2012,2015,TRUE,-0.4088219950496088,2013,-0.5618341507196307,0.5618341507196307,1,0.1530121556700219,-0.5044497275819932,0.057384423137637475,0.3750317933000679,Partial recovery,-0.48532807288461977,NA,NA,Not observed before next drought
4y,10,2016,2016,2016,FALSE,-0.5044497275819932,2016,-0.6061853185475431,0.6061853185475431,0,0.10173559096554985,-0.6061853185475431,0,0,No recovery,-0.5553175230647682,NA,NA,Not observed before simulation end
2y,1,1980,1980,1981,TRUE,0,1980,-0.012168046622996182,0.012168046622996182,0,0.012168046622996182,-0.011539552523020045,6.28494099976137e-4,0.05165119097985348,Partial recovery,-0.006084023311498091,NA,NA,Not observed before next drought
2y,2,1982,1982,1983,TRUE,-0.011539552523020045,1982,-0.047154925905420426,0.047154925905420426,0,0.03561537338240038,-0.031030943835718413,0.016123982069702014,0.4527253412895513,Partial recovery,-0.029347239214220236,NA,NA,Not observed before next drought
2y,3,1984,1984,1985,TRUE,-0.031030943835718413,1985,-0.04653049224976762,0.04653049224976762,1,0.01549954841404921,-0.04653049224976762,0,0,No recovery,-0.038780718042743016,NA,NA,Not observed before next drought
2y,4,1986,1986,1987,TRUE,-0.04653049224976762,1987,-0.13751748215814785,0.13751748215814785,1,0.09098698990838022,-0.13751748215814785,0,0,No recovery,-0.09202398720395774,NA,NA,Not observed before next drought
2y,5,1988,1988,1989,TRUE,-0.13751748215814785,1988,-0.3737896188916417,0.3737896188916417,0,0.23627213673349384,-0.3344947650293558,0.03929485386228587,0.16631184025989912,Partial recovery,-0.2556535505248948,NA,NA,Not observed before next drought
2y,6,1990,1990,1991,TRUE,-0.3344947650293558,1990,-0.5867941012348564,0.5867941012348564,0,0.2522993362055006,-0.5813171428958998,0.005476958338956672,0.021708175777742155,Partial recovery,-0.4606444331321061,NA,NA,Not observed before next drought
2y,7,1992,1992,1993,TRUE,-0.5813171428958998,1992,-0.659792521094919,0.659792521094919,0,0.07847537819901929,-0.62755902690623,0.03223349418868904,0.41074659247824896,Partial recovery,-0.6205548319954094,NA,NA,Not observed before next drought
2y,8,1994,1994,1995,TRUE,-0.62755902690623,1995,-0.7180448864484983,0.7180448864484983,1,0.09048585954226829,-0.7180448864484983,0,0,No recovery,-0.6728019566773642,NA,NA,Not observed before next drought
2y,9,1996,1996,1997,TRUE,-0.7180448864484983,1997,-0.727392201469462,0.727392201469462,1,0.009347315020963753,-0.727392201469462,0,0,No recovery,-0.7227185439589802,NA,NA,Not observed before next drought
