scenario,frequency,event_year,event_id,next_event_year,response_start,response_end_expected,response_end,response_window_complete
2y,2,1980,1,1982,1980,1981,1981,TRUE
2y,2,1982,2,1984,1982,1983,1983,TRUE
2y,2,1984,3,1986,1984,1985,1985,TRUE
2y,2,1986,4,1988,1986,1987,1987,TRUE
2y,2,1988,5,1990,1988,1989,1989,TRUE
2y,2,1990,6,1992,1990,1991,1991,TRUE
2y,2,1992,7,1994,1992,1993,1993,TRUE
2y,2,1994,8,1996,1994,1995,1995,TRUE
2y,2,1996,9,1998,1996,1997,1997,TRUE
2y,2,1998,10,2000,1998,1999,1999,TRUE
2y,2,2000,11,2002,2000,2001,2001,TRUE
2y,2,2002,12,2004,2002,2003,2003,TRUE
2y,2,2004,13,2006,2004,2005,2005,TRUE
2y,2,2006,14,2008,2006,2007,2007,TRUE
2y,2,2008,15,2010,2008,2009,2009,TRUE
2y,2,2010,16,2012,2010,2011,2011,TRUE
2y,2,2012,17,2014,2012,2013,2013,TRUE
2y,2,2014,18,2016,2014,2015,2015,TRUE
2y,2,2016,19,2018,2016,2017,2016,FALSE
4y,4,1980,1,1984,1980,1983,1983,TRUE
4y,4,1984,2,1988,1984,1987,1987,TRUE
4y,4,1988,3,1992,1988,1991,1991,TRUE
4y,4,1992,4,1996,1992,1995,1995,TRUE
4y,4,1996,5,2000,1996,1999,1999,TRUE
4y,4,2000,6,2004,2000,2003,2003,TRUE
4y,4,2004,7,2008,2004,2007,2007,TRUE
4y,4,2008,8,2012,2008,2011,2011,TRUE
4y,4,2012,9,2016,2012,2015,2015,TRUE
4y,4,2016,10,2020,2016,2019,2016,FALSE
6y,6,1980,1,1986,1980,1985,1985,TRUE
6y,6,1986,2,1992,1986,1991,1991,TRUE
6y,6,1992,3,1998,1992,1997,1997,TRUE
6y,6,1998,4,2004,1998,2003,2003,TRUE
6y,6,2004,5,2010,2004,2009,2009,TRUE
6y,6,2010,6,2016,2010,2015,2015,TRUE
6y,6,2016,7,2022,2016,2021,2016,FALSE
8y,8,1980,1,1988,1980,1987,1987,TRUE
8y,8,1988,2,1996,1988,1995,1995,TRUE
8y,8,1996,3,2004,1996,2003,2003,TRUE
8y,8,2004,4,2012,2004,2011,2011,TRUE
8y,8,2012,5,2020,2012,2019,2016,FALSE
